span_m,sag_m,series_label,temp_C,ice_flag,wind_code,conductor,source
760.731,49.137,0,0.0,False,,ACSR 636,digitized_chart
755.339,48.436,0,0.0,False,,ACSR 636,digitized_chart
749.891,47.715,0,0.0,False,,ACSR 636,digitized_chart
744.188,46.994,0,0.0,False,,ACSR 636,digitized_chart
738.615,46.297,0,0.0,False,,ACSR 636,digitized_chart
733.014,45.565,0,0.0,False,,ACSR 636,digitized_chart
727.633,44.879,0,0.0,False,,ACSR 636,digitized_chart
721.962,44.158,0,0.0,False,,ACSR 636,digitized_chart
716.276,43.437,0,0.0,False,,ACSR 636,digitized_chart
710.382,42.725,0,0.0,False,,ACSR 636,digitized_chart
704.549,41.996,0,0.0,False,,ACSR 636,digitized_chart
698.854,41.276,0,0.0,False,,ACSR 636,digitized_chart
693.013,40.567,0,0.0,False,,ACSR 636,digitized_chart
687.235,39.835,0,0.0,False,,ACSR 636,digitized_chart
681.391,39.138,0,0.0,False,,ACSR 636,digitized_chart
675.173,38.394,0,0.0,False,,ACSR 636,digitized_chart
669.247,37.674,0,0.0,False,,ACSR 636,digitized_chart
663.106,36.953,0,0.0,False,,ACSR 636,digitized_chart
657.028,36.233,0,0.0,False,,ACSR 636,digitized_chart
650.894,35.513,0,0.0,False,,ACSR 636,digitized_chart
644.663,34.793,0,0.0,False,,ACSR 636,digitized_chart
638.701,34.069,0,0.0,False,,ACSR 636,digitized_chart
632.153,33.352,0,0.0,False,,ACSR 636,digitized_chart
626.108,32.655,0,0.0,False,,ACSR 636,digitized_chart
620.281,31.975,0,0.0,False,,ACSR 636,digitized_chart
614.045,31.322,0,0.0,False,,ACSR 636,digitized_chart
606.905,30.542,0,0.0,False,,ACSR 636,digitized_chart
600.185,29.839,0,0.0,False,,ACSR 636,digitized_chart
593.282,29.103,0,0.0,False,,ACSR 636,digitized_chart
586.423,28.383,0,0.0,False,,ACSR 636,digitized_chart
579.887,27.724,0,0.0,False,,ACSR 636,digitized_chart
572.949,27.014,0,0.0,False,,ACSR 636,digitized_chart
566.197,26.306,0,0.0,False,,ACSR 636,digitized_chart
559.836,25.69,0,0.0,False,,ACSR 636,digitized_chart
553.442,25.054,0,0.0,False,,ACSR 636,digitized_chart
546.457,24.381,0,0.0,False,,ACSR 636,digitized_chart
539.462,23.724,0,0.0,False,,ACSR 636,digitized_chart
533.014,23.129,0,0.0,False,,ACSR 636,digitized_chart
526.486,22.531,0,0.0,False,,ACSR 636,digitized_chart
519.82,21.939,0,0.0,False,,ACSR 636,digitized_chart
513.032,21.333,0,0.0,False,,ACSR 636,digitized_chart
506.039,20.742,0,0.0,False,,ACSR 636,digitized_chart
499.484,20.17,0,0.0,False,,ACSR 636,digitized_chart
492.388,19.58,0,0.0,False,,ACSR 636,digitized_chart
485.685,19.055,0,0.0,False,,ACSR 636,digitized_chart
477.517,18.355,0,0.0,False,,ACSR 636,digitized_chart
469.952,17.749,0,0.0,False,,ACSR 636,digitized_chart
462.391,17.195,0,0.0,False,,ACSR 636,digitized_chart
454.22,16.537,0,0.0,False,,ACSR 636,digitized_chart
446.466,15.997,0,0.0,False,,ACSR 636,digitized_chart
439.057,15.391,0,0.0,False,,ACSR 636,digitized_chart
431.583,14.864,0,0.0,False,,ACSR 636,digitized_chart
425.116,14.405,0,0.0,False,,ACSR 636,digitized_chart
418.771,13.966,0,0.0,False,,ACSR 636,digitized_chart
412.63,13.519,0,0.0,False,,ACSR 636,digitized_chart
405.526,13.031,0,0.0,False,,ACSR 636,digitized_chart
398.382,12.529,0,0.0,False,,ACSR 636,digitized_chart
389.242,11.916,0,0.0,False,,ACSR 636,digitized_chart
381.385,11.395,0,0.0,False,,ACSR 636,digitized_chart
373.822,10.905,0,0.0,False,,ACSR 636,digitized_chart
364.788,10.337,0,0.0,False,,ACSR 636,digitized_chart
356.979,9.828,0,0.0,False,,ACSR 636,digitized_chart
349.72,9.402,0,0.0,False,,ACSR 636,digitized_chart
342.255,8.948,0,0.0,False,,ACSR 636,digitized_chart
335.825,8.571,0,0.0,False,,ACSR 636,digitized_chart
327.523,8.111,0,0.0,False,,ACSR 636,digitized_chart
319.675,7.673,0,0.0,False,,ACSR 636,digitized_chart
311.955,7.257,0,0.0,False,,ACSR 636,digitized_chart
305.319,6.934,0,0.0,False,,ACSR 636,digitized_chart
297.94,6.564,0,0.0,False,,ACSR 636,digitized_chart
288.927,6.147,0,0.0,False,,ACSR 636,digitized_chart
281.136,5.764,0,0.0,False,,ACSR 636,digitized_chart
274.034,5.455,0,0.0,False,,ACSR 636,digitized_chart
265.983,5.127,0,0.0,False,,ACSR 636,digitized_chart
257.929,4.789,0,0.0,False,,ACSR 636,digitized_chart
250.877,4.522,0,0.0,False,,ACSR 636,digitized_chart
243.616,4.255,0,0.0,False,,ACSR 636,digitized_chart
236.628,4.004,0,0.0,False,,ACSR 636,digitized_chart
227.083,3.669,0,0.0,False,,ACSR 636,digitized_chart
217.893,3.349,0,0.0,False,,ACSR 636,digitized_chart
209.32,3.077,0,0.0,False,,ACSR 636,digitized_chart
201.143,2.841,0,0.0,False,,ACSR 636,digitized_chart
759.883,49.837,20,20.0,False,,ACSR 636,digitized_chart
754.294,49.116,20,20.0,False,,ACSR 636,digitized_chart
748.812,48.395,20,20.0,False,,ACSR 636,digitized_chart
743.207,47.674,20,20.0,False,,ACSR 636,digitized_chart
737.459,46.954,20,20.0,False,,ACSR 636,digitized_chart
731.977,46.233,20,20.0,False,,ACSR 636,digitized_chart
726.418,45.512,20,20.0,False,,ACSR 636,digitized_chart
720.851,44.791,20,20.0,False,,ACSR 636,digitized_chart
715.089,44.071,20,20.0,False,,ACSR 636,digitized_chart
709.416,43.35,20,20.0,False,,ACSR 636,digitized_chart
703.563,42.63,20,20.0,False,,ACSR 636,digitized_chart
697.881,41.909,20,20.0,False,,ACSR 636,digitized_chart
692.164,41.188,20,20.0,False,,ACSR 636,digitized_chart
686.356,40.468,20,20.0,False,,ACSR 636,digitized_chart
680.663,39.747,20,20.0,False,,ACSR 636,digitized_chart
674.667,39.027,20,20.0,False,,ACSR 636,digitized_chart
668.65,38.306,20,20.0,False,,ACSR 636,digitized_chart
662.552,37.586,20,20.0,False,,ACSR 636,digitized_chart
656.466,36.866,20,20.0,False,,ACSR 636,digitized_chart
650.201,36.146,20,20.0,False,,ACSR 636,digitized_chart
643.899,35.426,20,20.0,False,,ACSR 636,digitized_chart
637.611,34.705,20,20.0,False,,ACSR 636,digitized_chart
631.238,33.985,20,20.0,False,,ACSR 636,digitized_chart
624.79,33.266,20,20.0,False,,ACSR 636,digitized_chart
618.241,32.546,20,20.0,False,,ACSR 636,digitized_chart
611.631,31.826,20,20.0,False,,ACSR 636,digitized_chart
604.897,31.106,20,20.0,False,,ACSR 636,digitized_chart
598.316,30.386,20,20.0,False,,ACSR 636,digitized_chart
591.434,29.667,20,20.0,False,,ACSR 636,digitized_chart
584.508,28.947,20,20.0,False,,ACSR 636,digitized_chart
577.514,28.24,20,20.0,False,,ACSR 636,digitized_chart
570.584,27.532,20,20.0,False,,ACSR 636,digitized_chart
563.458,26.812,20,20.0,False,,ACSR 636,digitized_chart
