0_span,0_sag,20_span,20_sag,40_span,40_sag,-18_ICE_span,-18_ICE_sag,15.5_4w_span,15.5_4w_sag,15.5_12w_span,15.5_12w_sag,15.5_16w_span,15.5_16w_sag
760.731,49.137,759.883,49.837,760.195,50.694,760.234,51.043,365.649,10.733,365.673,11.764,365.212,12.279
755.339,48.436,754.294,49.116,754.905,50.005,754.747,50.333,362.096,10.502,362.625,11.556,362.060,12.071
749.891,47.715,748.812,48.395,749.362,49.285,749.141,49.613,358.552,10.283,358.604,11.302,356.970,11.760
744.188,46.994,743.207,47.674,743.919,48.564,743.653,48.892,353.503,9.983,353.642,10.990,352.734,11.495
738.615,46.297,737.459,46.954,738.368,47.843,738.037,48.171,348.645,9.683,348.615,10.690,347.386,11.172
733.014,45.565,731.977,46.233,732.772,47.118,732.558,47.456,343.534,9.392,343.540,10.391,342.153,10.864
727.633,44.879,726.418,45.512,727.205,46.401,726.824,46.730,338.714,9.099,338.745,10.103,336.802,10.538
721.962,44.158,720.851,44.791,721.573,45.681,721.213,46.009,333.667,8.796,333.857,9.814,331.847,10.250
716.276,43.437,715.089,44.071,715.874,44.960,715.526,45.288,328.649,8.519,328.346,9.515,326.997,9.973
710.382,42.725,709.416,43.350,710.200,44.239,709.891,44.568,323.614,8.243,322.805,9.204,321.997,9.697
704.549,41.996,703.563,42.630,704.368,43.519,704.085,43.847,318.548,7.967,318.032,8.928,316.914,9.420
698.854,41.276,697.881,41.909,698.543,42.798,698.342,43.126,313.454,7.691,312.688,8.640,312.072,9.156
693.013,40.567,692.164,41.188,692.783,42.078,692.485,42.406,308.253,7.414,307.496,8.352,307.603,8.937
687.235,39.835,686.356,40.468,687.159,41.357,686.858,41.685,303.887,7.201,303.502,8.145,304.149,8.765
681.391,39.138,680.663,39.747,681.455,40.636,681.170,40.964,,,,,,
675.173,38.394,674.667,39.027,675.787,39.916,675.331,40.244,,,,,,
669.247,37.674,668.650,38.306,669.819,39.195,669.433,39.523,,,,,,
663.106,36.953,662.552,37.586,663.723,38.475,663.463,38.803,,,,,,
657.028,36.233,656.466,36.866,657.673,37.755,657.468,38.083,,,,,,
650.894,35.513,650.201,36.146,651.492,37.034,651.450,37.362,,,,,,
